class_1	Region	dataset	broad_labels	avg_MB	sd_MB	avg_count	sd_count	indivs
Denisova	Oceania	GAv1	NA	107.601	4.77233325184512	937	28.1543365517049	4
Denisova	Oceania	HGDP	NA	101.395107142857	8.97877072894225	940.142857142857	96.8739976906674	28
Denisova	SouthAsia	1000G	NA	6.67378732106339	1.44890271927445	76.8527607361963	12.7354383877545	489
Denisova	SouthAsia	GAv1	NA	7.60470723104056	2.48330142494592	82.4885361552028	22.4282789175451	567
Denisova	SouthAsia	HGDP	NA	3.89342131979695	1.16694618912727	46.0913705583756	10.0087602776597	197
Denisova	SouthAsia	LASI	South Asia	6.80668435114504	1.67843189830575	74.0900763358779	14.4356049521312	2620
Neanderthal	Oceania	GAv1	NA	102.5545	3.87073950729487	871.75	18.2460041287583	4
Neanderthal	Oceania	HGDP	NA	101.226214285714	4.27525705839355	894.392857142857	29.7213469682729	28
Neanderthal	SouthAsia	1000G	NA	72.0811840490798	4.27821633188996	750.654396728016	33.2894223664188	489
Neanderthal	SouthAsia	GAv1	NA	75.1163703703704	7.92290193585647	761.784832451499	61.4758671597014	567
Neanderthal	SouthAsia	HGDP	NA	66.5458984771574	6.85816079720013	679.994923857868	61.5031521891631	197
Neanderthal	SouthAsia	LASI	South Asia	72.4037213740458	4.92427499328281	724.388167938931	37.6503387514246	2620
